song title,artist/band name,year,lyrics url
I'm Fine,"Oakes, Ryan",2019,https://www.azlyrics.com/lyrics/ryanoakes/imfine.html
Change,Tinchy Stryder,2019,https://www.azlyrics.com/lyrics/tinchystryder/change.html
Keep Me Up(Special Edition Bonus Track),"Schulte, Michael",2019,https://www.azlyrics.com/lyrics/michaelschulte/keepmeup.html
Coven,Thornhill,2019,https://www.azlyrics.com/lyrics/thornhill/coven.html
Yayo,Sinan-G,2019,https://www.azlyrics.com/lyrics/sinang/yayo.html
Lift You Up,Zeds Dead,2020,https://www.azlyrics.com/lyrics/zedsdead/liftyouup.html
False Prophet,Testament,2020,https://www.azlyrics.com/lyrics/testament/falseprophet.html
Ghosted,Hollow Front,2020,https://www.azlyrics.com/lyrics/hollowfront/ghosted.html
Vacant Heart,StaySolidRocky,2020,https://www.azlyrics.com/lyrics/staysolidrocky/vacantheart.html
Break Up Song,MarMar Oso,2020,https://www.azlyrics.com/lyrics/marmaroso/breakupsong.html
King,Broken Back,2020,https://www.azlyrics.com/lyrics/brokenback/king.html
Moulin Rouge,Mister V,2020,https://www.azlyrics.com/lyrics/misterv/moulinrouge.html
Hongos,Ricardo Arjona,2020,https://www.azlyrics.com/lyrics/ricardoarjona/hongos.html
People You Know,Selena Gomez,2020,https://www.azlyrics.com/lyrics/selenagomez/peopleyouknow.html
Malevolent,Social Repose,2020,https://www.azlyrics.com/lyrics/socialrepose/malevolent.html
Handsome,"East, Dave",2020,https://www.azlyrics.com/lyrics/daveeast/handsome.html
Love Has No Heart,"Pearce, Carly",2020,https://www.azlyrics.com/lyrics/carlypearce/lovehasnoheart.html
Flight Path,E^ST,2020,https://www.azlyrics.com/lyrics/est/flightpath.html
Beautiful Day,Confetti,2021,https://www.azlyrics.com/lyrics/confetti/beautifulday.html
Way Less Sad,AJR,2021,https://www.azlyrics.com/lyrics/ajr/waylesssad.html
Great Is Thy Faithfulness,"Underwood, Carrie",2021,https://www.azlyrics.com/lyrics/carrieunderwood/greatisthyfaithfulness.html
Palm Of Your Hand,Moon Taxi,2021,https://www.azlyrics.com/lyrics/moontaxi/palmofyourhand.html
